Province/State,Country/Region,Lat,Long,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020
,Agadir,30.429707,-9.62156,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,4,4,6,6,6,6,8,10,11,11,14,15,15,17,19,19,19,19,19,19,20,20,22,23,23,24,25,26,30,34,36,44,47,47,47,50,50,50,50,50,50,50,51,51,51,51,52,52,52,52
,Dakhla,23.906090,-15.656141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Guelmim,28.970672,-10.057436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,22,22,23,29,29,29,29,29,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,40,40,40,40,40,40,40,40,40,40,50,50,50,50
,Laayoune,42.5063,-13.197279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,16,16,16,16
,Alhaouz,31.162844,-8.136741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,5,6,7,8,9,10,11,12,14,16,17,18,20,22,23,23,25,25,26,26,26,36,38,38,40,40,40,40,42,45,47,47,47,47,47,47
,Chichaoua,31.539359,-8.776763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,8,8,8,9,9,9,11,11,11,18,18,18,19,19,21,21,21,21,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23
,Essaouira,31.506845,-9.760053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,ElKelaa,32.052193,-7.398777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Maroc,Marrakech,31.640939,-7.982077,0,0,0,0,0,0,0,0,1,3,3,3,3,4,5,7,8,10,23,24,26,27,33,40,49,55,66,83,102,112,121,136,147,157,169,183,191,202,208,216,231,245,257,267,276,290,432,443,464,480,480,481,496,520,536,543,570,609,642,665,708,757,769,774,814,821,857
Maroc,Safi,32.299711,-9.241890,0,0,0,0,0,0,0,0,1,3,3,3,3,4,5,7,8,10,23,24,26,27,33,40,49,55,66,83,102,112,121,136,147,157,169,183,191,202,208,216,231,245,257,267,276,290,432,443,464,480,480,481,496,520,536,543,570,609,642,665,708,757,769,774,814,821,857
Maroc,Rhamena,32.481854,-7.916894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,3,83,165,179,215,215,215,217,219,221,221,223,223,223,223,227,227,227,227,227,227,232,232
Maroc,Youssoufia,32.248541,-8.533405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maroc,Rabat,33.984004,-6.849712,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,15,15,15,27,32,40,45,45,56,56,84,97,97,113,115,115,169,181,181,186,201,209,209,226,237,239,239,239,258,259,262,268,280,281,282,286,297,299,304,306,309,314,314,326,329,342,375,353,490,490
,Tanger,35.769510,-5.738688,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,7,9,11,15,15,23,23,36,39,39,45,47,47,62,78,78,96,100,115,115,141,153,168,169,169,230,255,283,312,383,426,461,491,492,502,529,544,544,565,597,619,657,704,730,740,760,760
